"","x"
"45","Cum e faţa liniştită a izvorului curat, aşa-i viaţa celui care e cu Cerul împăcat."
"46","A nu cădea nu se poate, dar cinste îţi face, când cazi, să te scoli."
"47","Norocul ca o roată pururea se-ntoarce: pe cei de jos sus îi urcă şi pe cei de sus jos îi aruncă."
"48","Adevărul şi dreptatea sunt fraţi de cruce."
"49","Morarul, când are apă la moară, bea vin şi când n-are apă, nu bea nici apă."
"50","Degrabă să asculţi, târziu să grăieşti. Şi la mânie cu totul să zăboveşti."
"51","Decât un an cioară, mai bine o zi şoim."
"52","Banii nu aduc învăţătură, dar învăţătura aduce bani."
"53","Speranţa este sămânţa tuturor, dar voinţa e floarea veşnică."
"54","Omul bun preţuieşte bunătatea, aşa cum albina preţuieşte floarea."
"55","Adevărul şi dreptatea nu se veştejesc niciodată."
"56","Binele cu bine se răsplăteşte."
"57","Vizitiul prost bate calul bun."
"58","Greşeala filului tău să nu o treci cu vederea, că se face obicei."
"59","Cine-n lene se târăşte, norocul îl părăseşte."
"60","Meşteşugul vreme cere, nu se-nvaţă din vedere."
"61","Câinele toată iarna îşi face casă, iar vara se duce la umbră."
"62","Vacă la casă — laptele-i pe masă."
"63","Omul la mânie cade-n nebunie."
"64","Ca răbdarea la necaz, niciun leac mai bun."
"65","Lucrul are rădăcini amare, dar fructe dulci."
"66","Din fata cea haină nu mai faci gospodină; iar din una sărăcuţă faci bună gospodinuţă."
"67","Cu râma mică se prinde peştele mare."
"68","Furnica, când îi vine moartea, scoate aripi şi zboară."
"69","La mâncare lup şi la învăţătură butuc."
"70","Viţel s-a născut şi bou a murit."
"71","Vai de omul care ajunge să-şi lege iapa de coada ciupercii."
"72","Prin ochii fiecărui sărman priveşte Iisus."
"73","Muierea multe face, bărbatul vede şi tace."
"74","Cine adună la tinereţe, are la bătrâneţe."
"75","Cu peştele mic prinzi pe cel mare."
"76","Copiii sunt cinstea părinţilor, iar părinţii — lauda copiilor."
"77","Adevărul a grăi să nu te sfieşti, măcar că de prea puţini vei fi ascultat."
"78","Cu şchiopii în loc de şezi, te înveţi să şchiopătezi."
"79","De ar fi moşu' cât de bătrân, tot ar mânca măr din sân."
"80","Unde este pace şi lui Dumnezeu îi place."
"81","Prost să fii, noroc să ai."
"82","Adevărul este întotdeauna la mijloc."
"83","Norocu-i după cum şi-l face omul."
"84","Caii trag, boii mănâncă."
"85","Până nu plouă, nu ies ciupercile."
"86","Dacă n-ar fi poveşti în lume, cum ar trăi biata lume?"
"87","Tăcând, Eva şi-a umplut sacul."
"88","Precum apa inima ţi-o răcoreşte, aşa şi învăţătura mintea ţi-o limpezeşte."
"89","Tot cam după neam merg toate, din ce este nu-l poţi scoate."
"90","O vorbă-n plus şi-un dinte-n minus."
"91","Adevărul într-un cuvânt, iar minciuna în mii şi sute."
"92","Ochii sunt poarta către suflet."
"93","Spune-mi cu cine te aduni ca să-ţi spun cine eşti."
"94","Obiceiurile bune strică prieteniile rele."
"95","Omul poate povăţui pe altul, dar pe sine niciodată."
"96","Unde dai şi unde crapă!"
"97","Dacă prostia ar durea, mulţi s-ar tăvăli în chinuri."
"98","Omul cât trăieşte învaţă."
"99","Munca este brăţară de aur."
"100","Adam a mâncat mărul, însă dinţii noştri strepezesc."
"101","Eşti mâncat de rele precum grâul mic de păsărele."
"102","Judecata e în cap, nu în inimă."
"103","Cine caută iepuri în biserică, se întoarce fără vânat acasă."
"104","Ori vorbeşte cum ţi-e portul, ori te poartă cum ţi-e vorba!"
"105","Cinstea te cinsteşte, iar batjocura te batjocoreşte."
"106","Poftele omului n-au hotar."
"107","Din ce auzi să nu crezi şi din ce vezi să crezi jumate!"
"108","Mutul tace, dar le face."
"109","Zilele omului sunt ca floarea câmpului."
"110","Fură cloşca de pe ouă."
"111","Foc după foc, rău după rău."
"112","Deprinde-te a stăpâni lăcomia, somnul, desfrânarea şi mânia ca să scapi de mari necazuri."
"113","Se poate păzi un sac de pureci, o turmă de iepuri, dar o femeie nu."
"114","Dumnezeu face casa, dracul aduce musafirii."
"115","Ce-i lipseşte chelului? Tichie de mărgăritar!"
"116","Cine nu se leneveşte, aur şi în piatră găseşte."
"117","Deşteptăciunea are limite, prostia n-are margini."
"118","De-ar şti omul ce-ar păţi, dinainte s-ar păzi!"
"119","Ai bani, ai duşmani; n-ai bani, n-ai duşmani."
"120","E mai prost cine se ia cu prostul."
"121","Judecata e oloagă, când lipseşte-n cap o doagă."
"122","Prostul întâi o croieşte, apoi o gândeşte."
"123","Prostul cară lemne la pădure."
"124","Cine pe săraci ajută, pe Dumnezeu împrumută."
"125","Minciuna sparge case de piatră, dar alteori preţuieşte mai mult ca un adevăr nespus la locul lui."
"126","O zi de primăvară hrăneşte un an."
"127","Vina recunoscută e pe jumătate iertată."
"128","Pomul după roade se cunoaşte, iar omul după fapte."
"129","Judecă, apoi vorbeşte."
"130","Gândeşte şi apoi acţionează, nu invers."
"131","Ce poţi face singur, nu aştepta de la alţii."
"132","O mie de prieteni e prea puţin. Un singur duşman e prea mult."
"133","Nu-ţi băga nasul unde nu-ţi fierbe oala."
"134","Mai bine roagă-te la Dumnezeu decât la sfinţi."
"135","De ce îţi este frică, de aia nu scapi."
"136","Până nu faci foc, nu iese fum."
"137","Adevărul şi minciuna sunt duşmani neînduplecaţi."
"138","Linguşeala dulce mult aduce."
"139","Onoarea nu o putem cumpăra pe bani."
"140","Baba e calul dracului."
"141","Când se vede satul, nu mai trebuie căruţa."
"142","Bate fierul cât e cald, că de se va răci, în zadar vei munci."
"143","Când ai pierdut războiul cu propria conştiinţă, ai câştigat."
"144","Când te muşcă şarpele, îţi este frică şi de râmă."
"145","Un prieten bun nu se găseşte la capăt de drum."
"146","Cu curaj şi cu silinţă, izbuteşti la orice te îndeletniceşti."
"147","Prostul dacă nu-i fudul, parcă nici nu-i prost destul."
"148","A fi domn e o-ntâmplare, a fi om e lucru mare."
"149","Ce ţie nu-ţi place, altuia nu-i face."
"150","Niciun proroc nu se cinsteşte în patria sa."
"151","Dumnezeu găseşte o ramură joasă pentru pasărea care nu poate zbura."
"152","Apa lină mult te-nşală."
"153","Fie pâinea cât de rea, tot mai bine-n ţara ta!"
"154","Dă-i, Doamne, prostului mintea de apoi."
"155","Câinele moare de drum lung şi prostul de grija altuia."
"156","Omului cu învăţătură îi curge miere din gură."
"157","Paza bună trece primejdia rea."
"158","Nu numai să cunoşti ceea ce se cuvine, ci să şi urmezi după cum se cuvine."
"159","Nu supăra mai mult pe cel în mânie căzut, că mai rău se înverşunează, ca focul când îl zgândări."
"160","Pământului bun puţină apă îi trebuie."
"161","Biruieşti mânia când taci."
"162","Greşeala de o clipă e adesea supărare pe viaţă."
"163","Ce ţi-e scris, în frunte ţi-e pus."
"164","Inima când se-nveseleşte, faţa înfloreşte."
"165","Omul nedrept se teme de toţi."
"166","Baba călătoare n-are sărbătoare."
"167","Caută Stan iapa şi Stan, călare pe ea."
"168","Vai de casa unde bărbatul e muiere."
"169","Unde e calabalâc, acolo e şi bucluc."
"170","Cine ascunde adevărul, acela vinde minciuna."
"171","Cine trăieşte din muncă, nu duce lipsă."
"172","Cine-i sănătos e destul de bogat."
"173","Frumuseţea fără înţelepciune este ca o floare în noroi."
"174","Pe dinafara horii, mulţi dascăli se găsesc."
"175","Cal cuminte, călăuza prostului."
"176","Voinic tânăr, cal bătrân, greu se-ngăduie la drum."
"177","La aşa cap, aşa căciulă."
"178","De cap şi-a făcut, de cap i-a fost."
"179","Femeia harnică ţine casa cu fusul."
"180","Unde e sărăcie, e şi ceartă."
"181","E mai uşor a prăda decât a câştiga."
"182","Azi, mlădiţă de tufan, mâine, coadă de ciocan."
"183","Să cânte cocoşul, iară nu găina."
"184","De departe coada-ţi bate, de aproape ochii-ţi scoate."
"185","La un sac de învăţătură, trebuie un sac de minte."
"186","Vremea descoperă adevărul."
"187","Mâna care nu ştie să scrie dă vina pe condei."
"188","Poartă condei la ureche ca să se arate învăţat."
"189","Şi cel învăţat moare neînvăţat."
"190","Frumuseţea cui nu-i place? Dar nu ştii în ea ce zace!"
"191","Să bea omul vin până va ţine leul de ureche, nu până-i va scoate ciorile ochii."
"192","Cu ochii pe la icoane, şi cu gândul la cucoane."
"193","Omul învaţă din greşeala lui doar atunci când se trezeşte."
"194","Piatra care te loveşte nu vine de departe."
"195","Darul nu după mărime, ci după dragoste se preţuieşte."
"196","Decât cu un prost la câştig, mai bine cu un deştept la pagubă."
"197","Rana de cuţit se vindecă lesne, dar cea de la inimă niciodată."
"198","În ochi cu gura te unge şi-n dos cu ac te împunge."
"199","Dragostea de mamă faţă de copil este mai preţioasă decât toată averea de pe pământ."
"200","Cine se scoală de dimineaţă, departe ajunge."
"201","Ce folos că eşti frumos, dacă eşti căpăţânos."
"202","Orice naş îşi are naşul."
"203","Promisiunea e bucuria prostului."
"204","Mare e grădina Domnului, mică poarta raiului."
"205","Deşteptul învaţă din greşeala altuia, prostul nu învaţă nici din greşeala lui."
"206","Vrabia mălai visează."
"207","Capra moare de râioasă, şi tot cu coada pe sus."
"208","Numele bun e mai scump decât aurul."
"209","Mama bate, mama pupă."
"210","S-a dus bou şi a venit vacă."
"211","Dacă minţi pe altul, te minţi pe tine!"
"212","Strânge bani albi pentru zile negre."
"213","Deşteptul făgăduieşte, iar prostul trage nădejde."
"214","La durere, nici nevasta nu îţi cere."
"215","Beţia nu e frumoasă şi nici sănătoasă."
"216","Nu lăsa pe mâine ce poţi face azi!"
"217","Ziua caută-ţi de lucru, iar noaptea de somn."
"218","Minciuna-i ca o suliţă în sac, repede iese afară."
"219","Alege-ţi prietenii ca şi cărţile; puţini, dar buni."
"220","Fricosul are curaj de pâslă."
"221","Cine are o meserie, are o moşie."
"222","Lipsa frânge legea."
"223","Rar are numai unul dreptatea şi atunci greu şi-o câştigă."
"224","Înţeleptul tace şi face."
"225","Omul harnic, muncitor, de pâine nu duce dor."
"226","Ajungi în casa altuia, nu poţi şedea cum îţi place."
"227","Răspunsul blând înlătură mânia."
"228","Hărnicia scoate datoriile, iar lenevia le adună."
"229","Unde nu-i cap, vai de picioare."
"230","E mai bine să fii deştept şi să nu fii apreciat decât să fii prost şi încrezut."
"231","Omul sfinţeşte locul!"
"232","La omul sărac nici boii nu trag."
"233","Nu întoarce vântul pomul, cum întoarce curva omul."
"234","Vorba dulce mult aduce."
"235","Prieteni noi să-ţi faci, dar de cei bătrâni să nu te laşi."
"236","Iartă pe toţi, numai pe tine nu!"
"237","La casa cu două fete, mor pisicile de sete."
"238","Buturuga mică răstoarnă carul mare."
"239","Zece deştepţi nu pot să dezlege ce a legat un prost."
"240","Dacă te porţi urât la tinereţe, vei muri cu tristeţe."
"241","Nu încerca să fii ceea ce nu eşti, căci al tău suflet ţi-l umileşti!"
"242","Femeia vede chiar unde bărbatul abia zăreşte."
"243","Ciocârlia cu primăvara şi rândunica cu vara."
"244","De bani se plâng toţi, dar de minte niciunul."
"245","La prost nu trebuie să îi furi valiza, că şi-o pierde singur."
"246","Săracul nici unghii n-are la vreme de scărpinare."
"247","Omul din greşeli învaţă."
"248","Legea o fac domnii, nu proştii."
"249","Babă frumoasă şi copil cuminte nu există."
"250","Cine aleargă după doi iepuri, nu prinde niciunul."
"251","Ţine-ţi limba-n gură ca să ai friptură."
"252","Ce face un nebun, se chinuie să desfacă nouă deştepţi!"
"253","Beţia strică omenia."
"254","Se tem doar aceia care au de pierdut ceva."
"255","Încălzeşte-te cât arde focul."
"256","Râde ciob de oală spartă."
"257","Cine seamănă vânt culege furtună."
"258","Din părinţi se trag şi copii răi şi copii cuminţi."
"259","Dragostea e oarbă, dar căsătoria îi găseşte leacul."
"260","Roadele muncii sunt dulci."
"261","Gura omului sparge cetăţi."
"262","Pentru tine, moş Adame, am mâncat piroane-n palme."
"263","De-ar şti bărbatul câte ştie satul, până-i lumea n-ar ţine casa."
"264","Spicu-ncărcat e aplecat, cel gol e ridicat."
"265","Pe cine nu laşi să moară nu te lasă să trăieşti."
"266","De la adevăr până la minciună e un lat de palmă."
"267","Învaţă de mititel şi-ţi va fi mai uşurel."
"268","Apa trece, pietrele rămân."
"269","Numai cine nu munceşte, nu greşeşte."
"270","Când de multe te apuci, mai pe toate le încurci."
"271","Ţara moare de tătari şi el bea cu lăutari."
"272","Exemplele rele strică moravurile bune."
"273","Omului doar coarne-i lipsesc."
"274","Ochii au acelaşi limbaj pretutindeni."
"275","Cine patria nu-şi iubeşte, duşmanul ei se numeşte."
"276","Vara la umbră doarme."
"277","Recunoştinţa e o floare care creşte pe mormânt."
"278","Înţelepciunea vine odată cu vârsta."
"279","Cine-mparte parte-şi face."
"280","Cine scoate sabia, de sabie va pieri"
"281","Pomul neroditor se taie şi în foc s-aruncă."
"282","Se teme ca pirul de rouă."
"283","Gânduri multe, fără treabă, dovedesc o minte slabă."
"284","Până nu dai cu capul de toţi pereţii, nu te îndrepţi."
"285","Chibzuinţa e soră cu iscusinţa."
"286","Iubirea nu se cumpără, ea vine de la sine."
"287","Frumoasă poveste, dar mare minciună."
"288","Umblă pe calea dreptăţii, dacă vrei să te numeşti drept."
"289","Adevărul răneşte."
"290","Bine peste bine nu strică."
"291","Dumnezeu nu rămâne la nimeni dator."
"292","Pe femeia fără de prihană s-o porţi ca pe o floare."
"293","Când te apuci de vreo treabă, n-o lăsa fără ispravă."
"294","Înaintea bătrânilor să ai urechi în gură."
"295","A dat cu bâta-n baltă."
"296","Viaţa-i din bucăţi."
"297","Nu călca adevărul în picioare, dacă vrei să ai trecere la oameni."
"298","E uşor a fi bogat, dar greu a fi fericit."
"299","Bogatul ia cu dânsul în pământ toată sărăcia sufletului său."
"300","Tu, mare, eu, mare, ghetele cine să le tragă?"
"301","Ţin'te tare şi mare, cât ai mălaiu-n căldare."
"302","Unde nu e stăpân, nu e nici Dumnezeu."
"303","Bărbat bun şi usturoi dulce nu se poate."
"304","Tinerii cu tinerii, bătrânii cu bătrânii."
"305","Aşa-mi cânt-o păsărică, cine-adună nu mănâncă."
"306","Întâi ascultă şi pe urmă vorbeşte."
"307","Când Dumnezeu nu-i acasă, sfinţii îşi fac de cap!"
"308","A făgăduit marea cu sarea."
"309","Fie iarna cât de rece, numai Mărţişor de-ar trece."
"310","Nu ştii dimineaţa ce te aşteaptă seara."
"311","Plopul mare are şi crengi uscate."
"312","Rădăcina ţine crengile."
"313","Albina e cuminte cât ai minte."
"314","Flori frumoase sunt multe, dar nu toate au miros dulce."
"315","Omul este mai slab ca o floare şi mai tare ca o piatră."
"316","Pe omul bun nici câinii nu-l latră."
"317","Una spune omul şi alta face Domnul."
"318","Pereţii au urechi şi străzile ochi."
"319","Lucrul cel mai scump e cinstea, dar ce folos? Unii o vând prea ieftin."
"320","Cinstea-i pasăre sălbatică: dacă o scapi, n-o mai prinzi."
"321","Cine învaţă la tinereţe, se odihneşte la bătrâneţe."
"322","La un car de învăţătură e bună şi o lingură de minte."
"323","N-am învăţat carte şi tot am mâncat sărat."
"324","Rădăcina învăţăturii e amară, dar rodul ei e dulce."
"325","Să înveţi pentru tine, dar să ştii şi pentru alţii."
"326","Să nu te ruşinezi a învăţa ceva şi de la cel mai mic."
"327","Are multe grăunţe în dohotniţă."
"328","Vremea învaţă pe cei ce n-au învăţătură."
"329","Are faţa scrisă în icoane."
"330","Frumuseţea veştejeşte, dar înţelepciunea creşte."
"331","Omul leneş paşte vântul."
"332","N-ai o para chioară şi lenea te omoară."
"333","Fală goală, traistă uşoară."
"334","Din gura mincinosului nici adevărul nu se crede."
"335","Mincinosul vede colac şi zice mălai."
"336","A fugit în pod să nu-i cadă casa pe cap."
"337","A mişcat orice piatră, neştiind sub care este peşte."
"338","Nu e nebun cine e nebun, însă e mai nebun cine se pune cu nebunul."
"339","Prostia are ca mamă fudulia."
"340","Meşterul e totdeauna cu banul în mână."
"341","Meşterul rău niciodată nu-şi găseşte scule bune."
"342","Omul harnic merge la lucru şi când plouă, şi când spulberă."
"343","Aţa lungă face noduri."
"344","Banul şi pe prieteni îi face vrăjmaşi."
"345","Decât doi saci deşerţi, mai bine unul plin."
"346","Din lipsa unui cui se desface căruţa."
"347","Cine mănâncă puţin, mănâncă de mai multe ori."
"348","Oaspetele nu mănâncă ce gândeşte, ci mănâncă ce găseşte."
"349","E mare necaz când foamea nu-ţi dă răgaz."
"350","Fiecare naş îşi are naşul."
"351","Un tată poate să hrănească zece fii, dar zece fii nu pot să hrănească un tată."
"352","Cel ce suferă pe nedreptate, se întăreşte."
"353","Foamea face bucatele bune."
"354","Nu sunt vremurile sub cârma omului, ci bietul om sub vremuri."
"355","Săracul sapă şi munceşte, boierul bea şi chefuieşte."
"356","Norocul e nimic, înţelepciunea e totul."
"357","Se va întoarce ea, roata norocului."
"358","Roagă-te lui Dumnezeu şi munceşte tot mereu."
"359","Numai la Dumnezeu e dreptate."
"360","Cu înţelepciunea să te sfătuieşti, cu vitejia să izbândeşti şi cu dreptatea să te odihneşti."
"361","Răbdarea e cheia tuturor porţilor şi leacul tuturor relelor."
"362","Recunoştinţa e o floare ce nu creşte prin toate şanţurile."
"363","Hoţul la întuneric şi adevărul la lumină."
"364","Boii ară, caii mănâncă."
"365","Tâlcul poveştilor, poama strămoşilor."
"366","Bărbaţii numai atunci sunt domni când nu sunt cu muierile acasă."
"367","Răzbunarea e arma prostului."
"368","Inima de vânzător e venin otrăvitor."
"369","Cine nu învaţă la tinereţe, va plânge la bătrâneţe."
"370","Învaţă le tinereţe, şi vei sta la bătrâneţe."
"371","Unde nu intră soarele pe fereastră, intră doctorul pe uşă."
"372","Cine nu riscă, nu câştigă."
"373","Nu este treaba măgarului de unde beau oile apă."
"374","Pisica cu clopoţei nu prinde şoareci."
"375","Râde cioara de cioroi că sunt negri amândoi."
"376","Glumele nevinovate sunt ca sarea în bucate."
"377","O vorbă bună stinge focul mai repede decât apa."
"378","Cine vara se plimbă o zi, iarna flămânzeşte zece."
"379","Conştiinţa curată este ca perna moale."
"380","Iarna-i colţ de iad şi vara-i colţ de rai."
"381","Cine de glumă nu ştie, nu e om de omenie."
"382","Privighetoarea e o cioară înainte de a se mărita."
"383","Urarea cea mai bună aceasta se înţelege: la tinereţe drăgăstos, la bătrâneţe vesel, la orice întâmplare cu îndelungă răbdare, în slavă cu smerenie, la bogăţie cu cumpătare, către toţi cu îndurare şi de pofte pururea biruitor."
"384","Cine nu are bătrâni, să-i cumpere."
"385","Viaţă-viaţă legată cu aţă. S-a rupt aţa, s-a dus viaţa!"
"386","Nu alege comoara, alege cartea."
"387","Politeţea este cheia de aur care deschide toate uşile."
"388","Adevărata ştiinţă duce la credinţă."
"389","Ursul nu joacă de bunăvoie."
"390","Cine toamna munceşte, iarna huzureşte."
"391","Ajută-ţi ţara, precum şi ea te ajută."
"392","Mai bine sărac de toate, decât sărac de bunătate."
"393","Economia se face la începutul sacului, nu la sfârşitul lui."
"394","Nu-i frumos ce e frumos, e frumos ce-mi place mie."
"395","Inteligenţa e comoara omului."
"396","Fapta e mai importantă decât vorba."
"397","Găina p-un ou face-atâta zarvă, c-o aude vulpea."
"398","Patru ochi văd mai bine decât doi."
"399","Bine zice moş Arvinte: vai de cap unde nu-i minte."
"400","Laudă mare şi-n traistă n-are."
"401","Pentru dreptate se aruncă în foc."
"402","Lacul de ploaie nu ţine mult."
"403","Vorba lungă, sărăcia omului."
"404","Socoteala de acasă nu se potriveşte cu cea din târg."
"405","În ţara orbilor, chiorul este împărat."
"406","Cine râde la urmă, râde mai bine."
"407","Dă-mi, Doamne, puterea tânărului şi mintea bătrânului!"
"408","Ochii care nu se văd se uită."
"409","Furnică cu furnică, fie cât de mică, face mare muşuroi."
"410","Omul bun cu spor şi suflet este mai preţios decât cel bogat şi rău la inimă."
"411","Înalt ca bradul, prost ca gardul!"
"412","Cine are tovarăş nerod, ajunge din pod în glod."
"413","Bărbatul este cheia casei."
"414","Inima nu-şi doreşte ceea ce ochii nu pot admira."
"415","Făţarnicul, ca o sătană, te cumpără de pomană şi te vinde cu poftă avană."
"416","Cine nu lucrează vara, n-are ce mânca iarna."
"417","Ce spui la ureche, în pădure se aude."
"418","La mâncare lup, la treabă vulpe şi la somn butuc."
"419","Amânarea e hoţul timpului."
"420","Nimeni nu ştie zilele omului."
"421","Punga plină cu galbeni şi femeia frumoasă să nu le arăţi."
"422","Bine faci, bine găseşti."
"423","Greşeala îndreptare aşteaptă."
"424","Am ambiţie de bărbat, ca să nu ies de sub pat."
"425","Cel ce are ochi căprui fură inima oricui."
"426","Cine dă, lui îşi dă."
"427","Cine pe sărac ajută, pe Dumnezeu împrumută."
"428","Mai bine să cazi din picioare, decât de pe monastirea lui Manole."
"429","Cumpără la timp şi vei avea la nevoie."
"430","De departe trandafir, de aproape borş cu ştir."
"431","Fapta bună laudă pe om."
"432","Limba îndulceşte, limba amăreşte."
"433","Binele te scapă de foc şi de apă."
"434","Locul natal ţi-i mamă dragă."
"435","Adevărul şi dreptatea locuiesc împreună: de dai de unul, dai şi de celălalt."
"436","Nu mor caii când vor câinii."
"437","Nu te amesteca în toate, ca sarea în bucate."
"438","Cu o floare nu se face primăvară."
"439","Pe bărbat mi-l iau din Paşti în Paşti, iar pe ibovnic, din săptămână în săptămână."
"440","De ai multe cunoştinţe, poţi lăsa bune seminţe."
"441","Decât să fii un sac de carte şi-o mână de minte, mai bine o mână de carte şi un sac de minte."
"442","Munte cu munte se-ntâlneşte, d-apăi om cu om."
"443","Te-o întreba iarna ce-ai lucrat vara."
"444","Minciuna, ca glonţul, în apă se afundă."
"445","Mersul pe jos face piciorul frumos."
"446","Graba strică treaba."
"447","Adeseori, în dosul unei guri dulci se găseşte o inimă otrăvită."
"448","Prostului nu-i fura traista, că şi-o pierde singur."
"449","Soarta omului este mereu în mâinile lui."
"450","Iarna se îndulcesc perele acre."
"451","Bună ziua, căciulă, că stăpânul n-are gură!"
"452","Lucrul cel mai scump e cinstea, dar ce folos, unii o vând prea ieftin."
"453","E rău când te ajunge sărăcia în haine domneşti."
"454","Omul prost nu vede pădurea din cauza copacilor."
"455","Binele nu face zgomot şi zgomotul nu face bine."
"456","Podoaba la părinţi — copiii cei mulţi."
"457","Orice şut în fund e un pas înainte."
"458","Lasă-mă să râd acum şi voi plânge mai târziu, dacă voi fi în viaţă."
"459","Câtă vreme şeful meu pretinde că salariul meu este mare, pretind şi eu că am multe de făcut."
"460","Vicleanul cu graiul se pare că te apără, iar cu semne de departe în groapă te aruncă."
"461","Pasărea mălai visează!"
"462","Mai bine să suferi nedreptate, decât să faci strâmbătate."
"463","Învăţătura mintea îmbogăţeşte, iar neştiinţa o sărăceşte."
"464","Omul leneş latră la lună."
"465","Pâine cu sare e gata mâncare."
"466","Judecată după sprânceană."
"467","Câinii latră, ursu merge."
"468","La faţă veche nu trebuie căptuşeală nouă."
"469","Nu te rezema nici de umbră, nici de stâlp putred."
"470","Au mâncat părinţii aguridă, şi şi-au sterpezit copiii dinţii."
"471","Averea te-ademeneşte, da' pă urmă te scârbeşte."
"472","Nu te atinge, că te frige."
"473","A tăcut cucu, a trecut vara."
"474","Când ar face toate muştele miere, ar fi pe toţi pereţii faguri."
"475","Până treci gârla, spui măgarului şi ""moşule""."
"476","De s-ar mânca frumuseţea cu lingura şi tot nu s-ar sătura nimeni de ea."
"477","În casa trândavului e sărăcie lucie."
"478","Îi e lene să şi vorbească, dar încă să mai şi muncească."
"479","Taie mămăliga-n două de viteaz ce e."
"480","Lacomii sunt de unde n-are mărul coajă şi cireaşa sâmbure."
"481","Prostul cară apă cu ciurul."
"482","Mai degrabă o vacă stearpă ţi-ar da lapte decât zgârcitul vreun ban."
"483","Lacătul nu se pune la uşă pentru hoţi, ci pentru oameni cinstiţi."
"484","Casa fără perdele, ca femeia fără sprâncene."
"485","Mănânci linte, creşti la minte."
"486","N-are baba niciun bai, are pită şi mălai."
"487","Puiul cel bun se cunoaşte după creastă."
"488","La urechi mari nu trebuie cercei."
"489","Nevoile alungate pe o poartă se întorc înzecite prin alte porţi."
"490","Se ţine norocul de el ca pulberea după câine."
"491","Dumnezeu face casa, dracu' aduce musafirii."
"492","Calul se caută de dinţi şi omul se caută de părinţi."
"493","Fuga-i ruşinoasă, dar e sănătoasă."
"494","Apa, vântul şi gura lumii nu le poţi opri."
"495","Speranţa moare ultima."
"496","Râde hârb de oală spartă."
"497","Ce se naşte din pisică şoareci mănâncă."
"498","Trei lucruri nu lasă în pace pe om: vinul, femeia şi banul."
"499","Ţara taie scara."
"500","Moarte fără bănuială şi nuntă fără căială nu se poate."
"501","Cu un copac nu faci pădure."
"502","Brânză bună în burduf de câine."
"503","Cu răbdarea treci marea."
"504","Prietenii adevăraţi îţi spun defectele verde în faţă."
"505","Roata, de-ar fi şi pătrată, tot se învârte câteodată."
"506","Fereşte-mă, Doamne, de prieteni, că de duşmani am eu grijă!"
"507","Nu râde de omul bolnav, ca să nu ţi se întoarcă."
"508","În orice minciună e un grăunte de adevăr."
"509","Lenea e cucoană mare care n-are de mâncare."
"510","Nu vede pădurea din cauza copacilor."
"511","Moare de foame cine se nutreşte cu speranţă."
"512","Un prost care cască ochii, închide gura."
"513","Sârguinţa e mama norocului."
"514","Răul ce şi-l face omul singur, nimeni altul n-ar putea să i-l facă."
"515","Socoteală curată, prietenie lungă."
"516","Hai la noi să mâncăm nimica!"
"517","Năravul din fire n-are tămăduire."
"518","Fiecare pâine are fărămiturile ei."
"519","Aţa, unde-i mai slabă, acolo se rupe."
"520","Cine începe cu Dumnezeu, cu Dumnezeu sfârşeşte."
